"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ID_PAIS_DESTINO","UNI_VEH"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",4,1636
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",12,24
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",16,203
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",32,4
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",40,630
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",48,76
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",66,3379
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",93,3
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",123,21
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",126,162
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",167,18
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",204,23
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",210,46
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",214,6
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",215,27
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's",235,28
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Exportación de vehículos","Nacional",2021,"01","BMW Group","Serie 3","Automóviles","De Lujo",4,152
